Name,X,Y,Z,Volume
dataset/bubbles_mesh\00016.stl,2.3761749526957283,4.302277669515859,4.831412754318808,0.037097717770659344
dataset/bubbles_mesh\00018.stl,2.501508597399368,3.653925136677289,1.9432780465994957,0.6394530031217577
dataset/bubbles_mesh\00007.stl,3.013571298212629,3.1069400784750068,3.20021169803878,0.0850945387727926
dataset/bubbles_mesh\00010.stl,1.4269245149397596,4.3944769634555,0.4208843741838626,0.5134120879921029
dataset/bubbles_mesh\00012.stl,3.7627542338226094,4.705332791338236,5.236255111226348,0.3924433368130702
dataset/bubbles_mesh\00015.stl,1.9060210223700533,4.341104419720786,2.323824041622698,0.4013400437911984
dataset/bubbles_mesh\00006.stl,4.670574834223824,4.383099905441833,2.6668293106005025,0.18353246875090296
dataset/bubbles_mesh\00017.stl,1.0009532561874823,1.7387917760779557,2.9939174402218747,0.4841388647928136
dataset/bubbles_mesh\00005.stl,1.2816174349180294,2.65934090362592,4.350281874158835,0.4176506110451489
dataset/bubbles_mesh\00001.stl,3.1235720705140633,4.447349105306075,4.2494383709616645,0.08710148233506987
dataset/bubbles_mesh\00019.stl,4.882317400041595,2.9497220887057813,4.178868496291839,1.8248275839045132
dataset/bubbles_mesh\00010.stl,2.189389315967111,2.1584848054482935,3.57557092845859,0.06321541596858408
dataset/bubbles_mesh\00019.stl,5.230163459012658,3.1255945724462797,5.367981428329651,0.31598427266873724
dataset/bubbles_mesh\00010.stl,5.244253888702354,2.130079006884772,3.9087193009170824,0.17405494882112568
dataset/bubbles_mesh\00006.stl,4.484740412374311,3.281623515530464,1.7758341838605731,0.5430762481098572
dataset/bubbles_mesh\00004.stl,2.306939388965395,1.4730279667187032,5.233064650292297,0.15894190590609467
dataset/bubbles_mesh\00013.stl,1.6066492315176888,1.0258701004757511,0.4240595797706057,2.162950923564079
dataset/bubbles_mesh\00009.stl,4.995385201657614,1.558305947556784,2.088965594999352,0.28526344159175687
dataset/bubbles_mesh\00020.stl,3.8042400679412367,3.7126194088598217,5.133557424207669,1.2430348183018174
dataset/bubbles_mesh\00010.stl,1.9417357762194343,5.006969355775822,1.3080216817045796,0.47097212278798456
dataset/bubbles_mesh\00002.stl,4.866222571240321,3.3954603934357737,2.9389004102180216,0.4329934011357808
dataset/bubbles_mesh\00004.stl,1.8886867281722004,5.2747392768043,3.7510333409150194,0.11466216998471232
dataset/bubbles_mesh\00004.stl,4.05226272895962,2.3959325228686366,4.6528041627659515,1.2371390632903776
dataset/bubbles_mesh\00018.stl,3.623085905224681,2.7475793893930964,5.731368135864331,1.034222569797649
